rxn	rxn_name	gene	equation	pathway
NDPK6m	ATP:dUDP phosphotransferase, mitochondria	Nme4	NDPK6m: atp_m + dudp_m <=> adp_m + dutp_m	Nucleotides
NDPK6n	Nucleoside-diphosphate kinase (ATP:dUDP), nuclear	Nme1	NDPK6n: atp_n + dudp_n <=> adp_n + dutp_n	Nucleotides
NDPK6n	Nucleoside-diphosphate kinase (ATP:dUDP), nuclear	Nme2	NDPK6n: atp_n + dudp_n <=> adp_n + dutp_n	Nucleotides
NDPK7	Nucleoside-diphosphate kinase (ATP:dCDP)	Nme1	NDPK7: atp_c + dcdp_c <=> adp_c + dctp_c	Nucleotides
NDPK7	Nucleoside-diphosphate kinase (ATP:dCDP)	Nme2	NDPK7: atp_c + dcdp_c <=> adp_c + dctp_c	Nucleotides
NDPK7	Nucleoside-diphosphate kinase (ATP:dCDP)	Nme3	NDPK7: atp_c + dcdp_c <=> adp_c + dctp_c	Nucleotides
NDPK7	Nucleoside-diphosphate kinase (ATP:dCDP)	Nme6	NDPK7: atp_c + dcdp_c <=> adp_c + dctp_c	Nucleotides
NDPK7	Nucleoside-diphosphate kinase (ATP:dCDP)	Nme7	NDPK7: atp_c + dcdp_c <=> adp_c + dctp_c	Nucleotides
NDPK7m	ATP:dCDP phosphotransferase, mitochondria	Nme4	NDPK7m: atp_m + dcdp_m <=> adp_m + dctp_m	Nucleotides
NDPK7n	Nucleoside-diphosphate kinase (ATP:dCDP), nuclear	Nme1	NDPK7n: atp_n + dcdp_n <=> adp_n + dctp_n	Nucleotides
NDPK7n	Nucleoside-diphosphate kinase (ATP:dCDP), nuclear	Nme2	NDPK7n: atp_n + dcdp_n <=> adp_n + dctp_n	Nucleotides
NDPK8	Nucleoside-diphosphate kinase (ATP:dADP)	Nme1	NDPK8: atp_c + dadp_c <=> adp_c + datp_c	Nucleotides
NDPK8	Nucleoside-diphosphate kinase (ATP:dADP)	Nme2	NDPK8: atp_c + dadp_c <=> adp_c + datp_c	Nucleotides
NDPK8	Nucleoside-diphosphate kinase (ATP:dADP)	Nme3	NDPK8: atp_c + dadp_c <=> adp_c + datp_c	Nucleotides
NDPK8	Nucleoside-diphosphate kinase (ATP:dADP)	Nme6	NDPK8: atp_c + dadp_c <=> adp_c + datp_c	Nucleotides
NDPK8	Nucleoside-diphosphate kinase (ATP:dADP)	Nme7	NDPK8: atp_c + dadp_c <=> adp_c + datp_c	Nucleotides
NDPK8m	Nucleoside-diphosphate kinase, mitochondria	Nme4	NDPK8m: atp_m + dadp_m <=> adp_m + datp_m	Nucleotides
NDPK8n	Nucleoside-diphosphate kinase (ATP:dADP), nuclear	Nme1	NDPK8n: atp_n + dadp_n <=> adp_n + datp_n	Nucleotides
NDPK8n	Nucleoside-diphosphate kinase (ATP:dADP), nuclear	Nme2	NDPK8n: atp_n + dadp_n <=> adp_n + datp_n	Nucleotides
NDPK9	Nucleoside diphosphate kinase  ATPIDP	Nme1	NDPK9: atp_c + idp_c <=> adp_c + itp_c	Nucleotides
NDPK9	Nucleoside diphosphate kinase  ATPIDP	Nme2	NDPK9: atp_c + idp_c <=> adp_c + itp_c	Nucleotides
NDPK9	Nucleoside diphosphate kinase  ATPIDP	Nme3	NDPK9: atp_c + idp_c <=> adp_c + itp_c	Nucleotides
