gene	ActivatedMyeloidCells___aCTLA4	ActivatedMyeloidCells___aPD1	ActivatedMyeloidCells___aPD1aCTLA4	ActivatedMyeloidCells___Control	HighlyProliferativeTCells___aCTLA4	HighlyProliferativeTCells___aPD1	HighlyProliferativeTCells___aPD1aCTLA4	HighlyProliferativeTCells___Control	OtherMyeloidCells___aCTLA4	OtherMyeloidCells___aPD1	OtherMyeloidCells___aPD1aCTLA4	OtherMyeloidCells___Control
Dynlt1b	0.06369113975381384	0.07875217888183213	0.0433398905736423	0.03471065793648598	0.021893578923059875	0.02697805640788248	0.02638619549448723	0.006850558491781043	0.11002452117157925	0.07079885348343777	0.08870050476400414	0.05811040480484442
Dynlt1c	0.5688410677891208	0.874364549168724	0.5435548004506483	0.8530425957494714	0.7344451951840723	0.738923677054129	0.7242851771223513	0.8343632469894564	0.8234916964717238	0.9760951106902165	0.7891147162257393	0.9939689995420994
Dynlt1f	0.29164235293812546	0.28397202893506146	0.2609180317869191	0.411871423421663	0.466481124125208	0.6119532107699416	0.4472911454418894	0.4818201882240726	0.4686544979245465	0.38081873211048595	0.36436901396022686	0.5509013535494385
Sytl3	0.011284648621862257	0.005411913798952578	0.005466426679102238	0.018140068512457367	0.26902515859207127	0.4163636952560319	0.3188259777586123	0.24780280975251612	0.005172877430282338	0.01387040197374232	0.036780797382228156	0.01303535938658065
Ezr	0.36982085245860735	0.5068649088528421	0.7634196528146783	0.3830389297677007	1.3924351577551881	1.1839428385680546	1.3138936787035949	1.3305132595121192	0.6934279229546785	0.4865924515395693	0.7531137879388826	0.3761710199883028
Rsph3b	0.014330818077130186	0.0040716834908264155	0.0014127486437613018	0.008990218642117376	0.007854188560217279	0	0.015473361061596358	0	0.02131003107118517	0.002820434938544052	0.005190192653335705	0.005773924138446551
Tagap1	0.2150350276938582	0.15608745573554764	0.18523486008016712	0.29247249989605495	0.339157515227666	0.2819277158933791	0.5513866727086764	0.14423117486508685	0.3044079943028681	0.2395457172230563	0.395978101722189	0.2646425468639929
Rnaset2b	0.037047998826055466	0.04447931732728031	0.03198107613464084	0.031751469571042024	0	0.008610060683707699	0.014832217950543451	0.01474897973932653	0.027348697716224387	0.021021191893270515	0.032237573474674285	0.03442428474592469
Rps6ka2	0.02808934220919842	0.02642393490902141	0.009202116379048504	0	0.009904952079841841	0	0	0	0.025481736814559338	0.007851448621581499	0.032506222218282574	0.014517300604819585
E430024P14Rik	0.013542324079970948	0.0018049368633085217	0.005786014755280594	0	0.013496442337799758	0.02078863776214472	0.00886675746226308	0	0.04100616615181926	0.005064252019141996	0	0.0026329839280551373
Tagap	0.11547798069800587	0.07871013979306136	0.09625672205174969	0.11331511937516162	0.19795854537946453	0.21242346630554598	0.17120644142146257	0.09239795315390835	0.19517002369193037	0.13950355795871022	0.1821777904731816	0.14142284334234445
Rsph3a	0.09231342947936584	0.05330928877852402	0.05880856637566264	0.03169589949926693	0.08558782883271993	0	0.09726758524174164	0.02145596624835991	0.11498131742796018	0.06629686149540777	0.06835459394392632	0.06431162484209221
Rnaset2a	2.670762802315112	2.66319564806189	3.0697699296799135	2.23129231815122	2.525193744892442	3.0557360905939674	2.2982382587930585	3.1306736263399397	2.926271707080237	2.5526831683662934	2.895949634908268	2.676783667418238
Fgfr1op	0.07320641155454535	0.07288147981566964	0.09435160445583365	0.054077528763384466	0.18703162530967835	0.2289804567027262	0.3739878679162329	0.1874100585811503	0.099115745848137607	0.06729935037956628	0.054632679548980274	0.08601418043237286
Ccr6	0	0	0	0	0.005128983681625518	0	0	0	0	0.014252769040867024	0.010357518926016421	0.005594261409206084
Mpc1	1.2304971533936175	1.2643123591979037	1.1952320214702132	1.0177188769541692	1.5996691560036196	1.5336945282453842	1.759997676057775	1.0910971096710278	1.4147420645799276	1.2905108643988183	1.354478257370574	1.4769670066490685
Sft2d1	1.1447594382124908	1.2025018084887702	1.1323926718674004	1.2450883457109343	0.5964460951622208	0.6668089950566776	0.6470470846754101	0.7055915702994655	1.309896569885142	1.1216830038626193	0.9954728875110508	1.444447462778078
Pde10a	0	0	0	0	0	0	0	0	0.0026570417984559396	0.004536382571435051	0	0.0033323388945539364
